TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;EXPECTED_VerificationStatus;UWAGI;RYZYKO_BLEDU
TC-201;Wieloznaczność - Łódź 3+ warianty;Highest;Łódź - Dąbrowskiego w 3 wariantach (park, ul., pl.) z różnymi NAZWA_2;Dąbrowskiego;;Łódź;;Dąbrowskiego;Jarosława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: park Jarosława, ul. gen. Jarosława, pl. gen. Henryka;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-202;Wieloznaczność - Łódź 3+ warianty;Highest;Łódź - Jana Pawła II w 3 wariantach (al., al., pl.) w różnych delegaturach;Jana Pawła II;;Łódź;;Jana Pawła II;;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: al. w Górna i Polesie, pl. w Śródmieście;RYZYKO: Może przypisać do złej delegatury (Górna vs Polesie vs Śródmieście)
TC-203;Wieloznaczność - Łódź 3+ warianty;Highest;Łódź - Struga w 3 wariantach (park, ul., ul.) w różnych delegaturach;Struga;;Łódź;;Struga;Andrzeja;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: park im. Andrzeja, ul. Andrzeja w Polesie i Śródmieście;RYZYKO: Może przypisać do złej delegatury (Polesie vs Śródmieście) i/lub wybrać złą cechę
TC-204;Wieloznaczność - Łódź 3+ warianty;Highest;Łódź - Reymonta w 3 wariantach (pl., ul., park) z różnymi NAZWA_2;Reymonta;;Łódź;;Reymonta;Władysława Stanisława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: pl. Władysława Stanisława, ul. Władysława, park im. Władysława;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-205;Wieloznaczność - Łódź 3+ warianty;Highest;Łódź - Maja w 4 wariantach (ul. 3, park 1, al. 1, park 3) w różnych delegaturach;Maja;;Łódź;;Maja;3;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.4;<0.7;<0.4;<0.4;;false;InVerification;Dane z powtorzenia - Łódź: ul. 3, park 1, al. 1, park 3 w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły numer w NAZWA_2
TC-206;Wieloznaczność - Łódź 3+ warianty;Highest;Łódź - Legionów w 3 wariantach (ul., ul., park) w różnych delegaturach;Legionów;;Łódź;;Legionów;;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: ul. w Polesie i Śródmieście, park w Górna;RYZYKO: Może przypisać do złej delegatury (Polesie vs Śródmieście vs Górna) i/lub wybrać złą cechę
TC-207;Wieloznaczność - Łódź 3+ warianty;Highest;Łódź - Piłsudskiego w 3 wariantach (al., al., park) w różnych delegaturach;Piłsudskiego;;Łódź;;Piłsudskiego;marsz. Józefa;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: al. w Śródmieście i Widzew, park w Polesie;RYZYKO: Może przypisać do złej delegatury (Śródmieście vs Widzew vs Polesie) i/lub wybrać złą cechę
TC-208;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Staszica park vs ul. z różnymi NAZWA_2;Staszica;;Łódź;;Staszica;ks. Stanisława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: park im. Stanisława vs ul. ks. Stanisława w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-209;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Piastowski park vs pl.;Piastowski;;Łódź;;Piastowski;;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: park vs pl. Piastowski w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-210;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Cyganka ul. vs skwer;Cyganka;;Łódź;;Cyganka;;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: ul. vs skwer Cyganka;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-211;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Broniewskiego ul. vs rondo;Broniewskiego;;Łódź;;Broniewskiego;Władysława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: ul. vs rondo Broniewskiego;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-212;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Żeromskiego park vs ul.;Żeromskiego;;Łódź;;Żeromskiego;Stefana;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: park vs ul. Żeromskiego w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-213;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Poniatowskiego park vs ul. z różnymi NAZWA_2;Poniatowskiego;;Łódź;;Poniatowskiego;im. Józefa;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: park im. Józefa vs ul. Księcia Józefa;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-214;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Głowackiego pl. vs ul. z różnymi NAZWA_2;Głowackiego;;Łódź;;Głowackiego;Bartosza;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: pl. Bartosza vs ul. Wojciecha w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-215;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Matejki park vs ul.;Matejki;;Łódź;;Matejki;Jana;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: park vs ul. Matejki;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-216;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Moniuszki park vs ul. z różnymi NAZWA_2;Moniuszki;;Łódź;;Moniuszki;im. Stanisława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: park im. Stanisława vs ul. Stanisława;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-217;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Nad Jasieniem park vs ul.;Nad Jasieniem;;Łódź;;Nad Jasieniem;;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: park vs ul. Nad Jasieniem w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-218;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Różyckiego ul. vs rondo z różnymi NAZWA_2;Różyckiego;;Łódź;;Różyckiego;Ludomira;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: ul. Ludomira vs rondo Jerzego w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-219;Wieloznaczność - Łódź 3+ warianty;High;Łódź - Andersa rondo vs park z różnymi NAZWA_2;Andersa;;Łódź;;Andersa;Generała Władysława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: rondo vs park Andersa w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-220;Błędne dopasowanie - delegatury;Highest;Łódź - przypisanie do złej delegatury (Górna vs Polesie vs Śródmieście);Jana Pawła II;;Łódź;;Jana Pawła II;;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: al. w Górna i Polesie, pl. w Śródmieście;RYZYKO: Może przypisać do złej delegatury jeśli nie ma dodatkowych danych
TC-221;Błędne dopasowanie - delegatury;High;Łódź - przypisanie do złej delegatury dla ul. Struga;Struga;;Łódź;;Struga;Andrzeja;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: ul. Struga w Polesie i Śródmieście;RYZYKO: Może przypisać do złej delegatury (Polesie vs Śródmieście)
TC-222;Błędne dopasowanie - delegatury;High;Łódź - przypisanie do złej delegatury dla ul. Legionów;Legionów;;Łódź;;Legionów;;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: ul. Legionów w Polesie i Śródmieście;RYZYKO: Może przypisać do złej delegatury (Polesie vs Śródmieście)
TC-223;Błędne dopasowanie - delegatury;High;Łódź - przypisanie do złej delegatury dla al. Piłsudskiego;Piłsudskiego;;Łódź;;Piłsudskiego;marsz. Józefa;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: al. Piłsudskiego w Śródmieście i Widzew;RYZYKO: Może przypisać do złej delegatury (Śródmieście vs Widzew)
TC-224;Błędne dopasowanie - wieloznaczność 4+ warianty;Highest;Łódź - Maja w 4 wariantach z różnymi numerami w NAZWA_2;Maja;3;Łódź;;Maja;3;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.4;<0.7;<0.4;<0.4;;false;InVerification;Dane z powtorzenia - Łódź: ul. 3, park 1, al. 1, park 3;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły numer
TC-225;Błędne dopasowanie - wieloznaczność 4+ warianty;High;Łódź - Reymonta w 3 wariantach z bardzo różnymi NAZWA_2;Reymonta;;Łódź;;Reymonta;Władysława Stanisława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: pl. Władysława Stanisława vs ul. Władysława vs park im. Władysława;RYZYKO: Może dopasować do złego wariantu NAZWA_2 z powodu różnic w długości
TC-226;Błędne dopasowanie - wieloznaczność 4+ warianty;High;Łódź - Dąbrowskiego w 3 wariantach z bardzo różnymi NAZWA_2;Dąbrowskiego;;Łódź;;Dąbrowskiego;Jarosława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Łódź: park Jarosława vs ul. gen. Jarosława vs pl. gen. Henryka;RYZYKO: Może dopasować do złego wariantu NAZWA_2 (Jarosława vs gen. Jarosława vs gen. Henryka)
TC-227;Błędne dopasowanie - wieloznaczność 4+ warianty;High;Łódź - Staszica z różnymi prefiksami w NAZWA_2;Staszica;;Łódź;;Staszica;ks. Stanisława;Łódź;;ŁÓDZKIE;Łódź;Łódź;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź: park im. Stanisława vs ul. ks. Stanisława;RYZYKO: Może dopasować do złego wariantu NAZWA_2 (im. vs ks.)
