TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;EXPECTED_VerificationStatus;UWAGI;RYZYKO_BLEDU
TC-351;Błędna kombinacja - ulica z innego miasta;Highest;Poprawna ulica Lipowa, ale z innego miasta - kod pasuje do Bolesławca;Lipowa;;Brodnica;59-700;Lipowa;;Bolesławiec;59-700;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;<0.5;>0.9;>0.9;<0.7;;false;InVerification;Ulica Lipowa występuje w 1944 miejscowościach - kod 59-700 pasuje do Bolesławca;RYZYKO: Może przypisać do Bolesławca zamiast Brodnicy jeśli kod pasuje do Bolesławca
TC-352;Błędna kombinacja - ulica z innego miasta;Highest;Poprawna ulica Długa, ale z innego miasta - kod pasuje do Głogowa;Długa;;Brodnica;67-200;Długa;;Głogów;67-200;DOLNOŚLĄSKIE;głogowski;Głogów;<0.5;>0.9;>0.9;<0.7;;false;InVerification;Ulica Długa występuje w wielu miejscowościach - kod 67-200 pasuje do Głogowa;RYZYKO: Może przypisać do Głogowa zamiast Brodnicy jeśli kod pasuje do Głogowa
TC-353;Błędna kombinacja - ulica z innego miasta;Highest;Poprawna ulica Polna, ale z innego miasta - kod pasuje do Trzebnicy;Polna;;Bolesławiec;55-100;Polna;;Trzebnica;55-100;DOLNOŚLĄSKIE;trzebnicki;Trzebnica;<0.5;>0.9;>0.9;<0.7;;false;InVerification;Ulica Polna występuje w 3320 miejscowościach - kod 55-100 pasuje do Trzebnicy;RYZYKO: Może przypisać do Trzebnicy zamiast Bolesławca jeśli kod pasuje do Trzebnicy
TC-354;Błędna kombinacja - ulica z innego miasta;Highest;Poprawna ulica Leśna, ale z innego miasta - kod pasuje do innego miasta;Leśna;;Brodnica;87-300;Leśna;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;>0.9;<0.7;;false;InVerification;Ulica Leśna występuje w 3393 miejscowościach - może przypisać do innego miasta z tym samym kodem;RYZYKO: Może przypisać do innego miasta z ul. Leśną i kodem 87-300
TC-355;Błędna kombinacja - ulica z innego miasta;Highest;Poprawna ulica Słoneczna, ale z innego miasta - kod pasuje do innego miasta;Słoneczna;;Brodnica;87-300;Słoneczna;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;>0.9;<0.7;;false;InVerification;Ulica Słoneczna występuje w 2959 miejscowościach - może przypisać do innego miasta z tym samym kodem;RYZYKO: Może przypisać do innego miasta z ul. Słoneczną i kodem 87-300
TC-356;Błędna kombinacja - błędne miasto + poprawna ulica;Highest;Błędne miasto Warszawa, ale ulica i kod pasują do Lublina;Jana Pawła II;17;Warszawa;20-538;Jana Pawła II;17;Lublin;20-538;LUBELSKIE;Lublin;Lublin;<0.5;>0.9;>0.9;<0.7;;false;InVerification;Ulica Jana Pawła II występuje w wielu miastach - kod 20-538 pasuje do Lublina;RYZYKO: Może przypisać do Lublina zamiast Warszawy jeśli kod pasuje do Lublina
TC-357;Błędna kombinacja - błędne miasto + poprawna ulica;Highest;Błędne miasto Kraków, ale ulica i kod pasują do innego miasta;Mickiewicza;;Kraków;87-300;Mickiewicza;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;>0.9;<0.7;;false;InVerification;Ulica Mickiewicza występuje w 1087 miejscowościach - kod 87-300 pasuje do Brodnicy;RYZYKO: Może przypisać do Brodnicy zamiast Krakowa jeśli kod pasuje do Brodnicy
TC-358;Błędna kombinacja - błędne miasto + poprawna ulica;Highest;Błędne miasto Wrocław, ale ulica i kod pasują do innego miasta;Kujawska;;Wrocław;87-700;Kujawska;;Zakrzewo;87-700;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.5;>0.9;>0.9;<0.7;;false;InVerification;Ulica Kujawska występuje w wielu miejscowościach - kod 87-700 pasuje do Zakrzewa;RYZYKO: Może przypisać do Zakrzewa zamiast Wrocławia jeśli kod pasuje do Zakrzewa
TC-359;Błędna kombinacja - błędny kod + poprawna ulica;Highest;Poprawna ulica i miasto, ale kod z innej części ulicy (inny zakres numerów);Marszałkowska;150;Warszawa;00-001;Marszałkowska;150;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;<0.3;>0.95;>0.9;<0.5;;false;InVerification;Numer 150 poza zakresem dla kodu 00-001 - kod może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy z innym kodem jeśli numer nie pasuje
TC-360;Błędna kombinacja - błędny kod + poprawna ulica;Highest;Poprawna ulica i miasto, ale kod z innej części miasta;Długa;50;Brodnica;87-301;Długa;50;Brodnica;87-301;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;>0.7;<0.6;;false;InVerification;Kod 87-301 vs 87-300 - może być dla innej części miasta lub innej ulicy;RYZYKO: Może przypisać do innej ulicy w Brodnicy z kodem 87-301
TC-361;Błędna kombinacja - błędny kod + poprawna ulica;Highest;Poprawna ulica i miasto, ale kod z innego miasta;Lipowa;15;Brodnica;20-001;Lipowa;15;Brodnica;20-001;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.3;>0.9;<0.2;<0.3;;false;InVerification;Kod 20-001 (Warszawa) vs 87-300 (Brodnica) - kod nie pasuje do miasta;RYZYKO: Może przypisać do Warszawy zamiast Brodnicy jeśli kod pasuje do Warszawy
TC-362;Błędna kombinacja - błędny kod + poprawna ulica;Highest;Poprawna ulica i miasto, ale kod z innego miasta;Kujawska;;Zakrzewo;00-001;Kujawska;;Zakrzewo;00-001;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.3;>0.9;<0.2;<0.3;;false;InVerification;Kod 00-001 (Warszawa) vs 87-700 (Zakrzewo) - kod nie pasuje do miasta;RYZYKO: Może przypisać do Warszawy zamiast Zakrzewa jeśli kod pasuje do Warszawy
TC-363;Błędna kombinacja - błędny numer + poprawna ulica;Highest;Poprawna ulica i kod, ale numer poza zakresem dla tego kodu;Marszałkowska;200;Warszawa;00-001;Marszałkowska;200;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;<0.3;>0.95;>0.9;<0.5;;false;InVerification;Numer 200 poza zakresem dla kodu 00-001 - może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy z innym kodem jeśli numer nie pasuje
TC-364;Błędna kombinacja - błędny numer + poprawna ulica;Highest;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Dmowskiego;100;Lublin;20-001;Dmowskiego;100;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.3;>0.95;>0.9;<0.5;;false;InVerification;Numer 100 poza zakresem - może być dla rondo Dmowskiego zamiast ul.;RYZYKO: Może przypisać do rondo zamiast ul. jeśli numer nie pasuje do ulicy
TC-365;Błędna kombinacja - błędny numer + poprawna ulica;Highest;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Grobla;200;Gorzów Wielkopolski;66-400;Grobla;200;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.3;>0.95;>0.9;<0.5;;false;InVerification;Numer 200 poza zakresem - może być dla rondo Grobla zamiast ul.;RYZYKO: Może przypisać do rondo zamiast ul. jeśli numer nie pasuje do ulicy
